Residence,Region,Sub-Region,Total,Period
Sweden,Europe,,539,2011-01
Singapore,Asia,Southeast Asia,14395,2011-01
Malaysia,Asia,Southeast Asia,16062,2011-01
Middle East,Asia,,968,2011-01
India,Asia,,1865,2011-01
"Korea,Republic of",Asia,,24316,2011-01
Russian Federation,Europe,,434,2011-01
Greece,Europe,,67,2011-01
Indonesia,Asia,Southeast Asia,10931,2011-01
Australia,Oceania,,6028,2011-01
"Others, Oceania",Oceania,,70,2011-01
S. Africa,Africa,,452,2011-01
"Others, Africa",Africa,,302,2011-01
Unstated,,,2493,2011-01
Japan,Asia,,101193,2011-01
Mainland China,Asia,,101354,2011-01
HongKong. Macao,Asia,,42925,2011-01
New Zealand,Oceania,,958,2011-01
Philippines,Asia,Southeast Asia,7995,2011-01
"Others, Europe",Europe,,2076,2011-01
"Others, Southeast Asia",Asia,Southeast Asia,5607,2011-01
Thailand,Asia,Southeast Asia,6165,2011-01
Austria,Europe,,443,2011-01
United Kingdom,Europe,,3702,2011-01
Spain,Europe,,393,2011-01
Switzerland,Europe,,490,2011-01
Italy,Europe,,933,2011-01
Germany,Europe,,3361,2011-01
France,Europe,,2113,2011-01
Netherlands,Europe,,1139,2011-01
"Others, America",America,,648,2011-01
Argentina,America,,83,2011-01
Brazil,America,,423,2011-01
Mexico,America,,144,2011-01
United States of America,America,,31617,2011-01
Canada,America,,5761,2011-01
"Others, Asia",Asia,,1867,2011-01
Belgium,Europe,,305,2011-01
"Others, Asia",Asia,,2017,2011-02
Argentina,America,,62,2011-02
Brazil,America,,238,2011-02
Mexico,America,,121,2011-02
United States of America,America,,28358,2011-02
Canada,America,,5563,2011-02
"Others, Southeast Asia",Asia,Southeast Asia,10131,2011-02
Japan,Asia,,106970,2011-02
Philippines,Asia,Southeast Asia,6889,2011-02
Indonesia,Asia,Southeast Asia,9206,2011-02
Singapore,Asia,Southeast Asia,15041,2011-02
Malaysia,Asia,Southeast Asia,26072,2011-02
Middle East,Asia,,933,2011-02
India,Asia,,1848,2011-02
"Korea,Republic of",Asia,,23190,2011-02
Thailand,Asia,Southeast Asia,8674,2011-02
Belgium,Europe,,259,2011-02
Unstated,,,2797,2011-02
Germany,Europe,,3991,2011-02
Mainland China,Asia,,115845,2011-02
"Others, Africa",Africa,,231,2011-02
S. Africa,Africa,,524,2011-02
"Others, Oceania",Oceania,,48,2011-02
New Zealand,Oceania,,591,2011-02
Australia,Oceania,,4782,2011-02
"Others, Europe",Europe,,2211,2011-02
France,Europe,,2259,2011-02
Russian Federation,Europe,,508,2011-02
Greece,Europe,,97,2011-02
Austria,Europe,,500,2011-02
United Kingdom,Europe,,3878,2011-02
Spain,Europe,,350,2011-02
Switzerland,Europe,,550,2011-02
Netherlands,Europe,,1018,2011-02
Italy,Europe,,843,2011-02
Sweden,Europe,,593,2011-02
HongKong. Macao,Asia,,65581,2011-02
"Others, America",America,,699,2011-02
HongKong. Macao,Asia,,58146,2011-03
Brazil,America,,445,2011-03
Mexico,America,,231,2011-03
United States of America,America,,35521,2011-03
